['none', 'l2', 'l1', 'max']
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0585 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    40/18 | alpha: 0.550 | norm: none | MAP: 0.0655 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    41/18 | alpha: 0.550 | norm: l2 | MAP: 0.0649 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    42/18 | alpha: 0.550 | norm: l1 | MAP: 0.0639 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    43/18 | alpha: 0.550 | norm: max | MAP: 0.0655 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    44/18 | alpha: 0.600 | norm: none | MAP: 0.0656 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    45/18 | alpha: 0.600 | norm: l2 | MAP: 0.0649 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    46/18 | alpha: 0.600 | norm: l1 | MAP: 0.0638 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    47/18 | alpha: 0.600 | norm: max | MAP: 0.0656 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    48/18 | alpha: 0.650 | norm: none | MAP: 0.0656 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    49/18 | alpha: 0.650 | norm: l2 | MAP: 0.0649 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    50/18 | alpha: 0.650 | norm: l1 | MAP: 0.0638 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    51/18 | alpha: 0.650 | norm: max | MAP: 0.0656 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    52/18 | alpha: 0.700 | norm: none | MAP: 0.0653 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    53/18 | alpha: 0.700 | norm: l2 | MAP: 0.0642 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    54/18 | alpha: 0.700 | norm: l1 | MAP: 0.0638 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    55/18 | alpha: 0.700 | norm: max | MAP: 0.0653 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    56/18 | alpha: 0.750 | norm: none | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    57/18 | alpha: 0.750 | norm: l2 | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    58/18 | alpha: 0.750 | norm: l1 | MAP: 0.0639 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    59/18 | alpha: 0.750 | norm: max | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    60/18 | alpha: 0.800 | norm: none | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    61/18 | alpha: 0.800 | norm: l2 | MAP: 0.0638 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    62/18 | alpha: 0.800 | norm: l1 | MAP: 0.0636 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    63/18 | alpha: 0.800 | norm: max | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    64/18 | alpha: 0.850 | norm: none | MAP: 0.0633 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    65/18 | alpha: 0.850 | norm: l2 | MAP: 0.0628 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    66/18 | alpha: 0.850 | norm: l1 | MAP: 0.0631 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    67/18 | alpha: 0.850 | norm: max | MAP: 0.0633 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    68/18 | alpha: 0.900 | norm: none | MAP: 0.0626 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    69/18 | alpha: 0.900 | norm: l2 | MAP: 0.0619 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    70/18 | alpha: 0.900 | norm: l1 | MAP: 0.0623 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    71/18 | alpha: 0.900 | norm: max | MAP: 0.0626 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| best results | alpha: 0.600 | norm: none | MAP: 0.0656 |
