13-12-2020-11:24:08
| iter:     0/140 | topk:  40 | alpha: 0.000 | norm: non | MAP: 0.0567 |
| iter:    34/140 | topk: 160 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:    35/140 | topk: 180 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:    36/140 | topk: 180 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:    37/140 | topk: 180 | alpha: 0.400 | norm: non | MAP: 0.0596 |
| iter:    38/140 | topk: 180 | alpha: 0.600 | norm: non | MAP: 0.0594 |
| iter:    39/140 | topk: 180 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:    40/140 | topk: 200 | alpha: 0.000 | norm: non | MAP: 0.0594 |
| iter:    41/140 | topk: 200 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    42/140 | topk: 200 | alpha: 0.400 | norm: non | MAP: 0.0596 |
| iter:    43/140 | topk: 200 | alpha: 0.600 | norm: non | MAP: 0.0595 |
| iter:    44/140 | topk: 200 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:    45/140 | topk: 220 | alpha: 0.000 | norm: non | MAP: 0.0596 |
| iter:    46/140 | topk: 220 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:    47/140 | topk: 220 | alpha: 0.400 | norm: non | MAP: 0.0598 |
| iter:    48/140 | topk: 220 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    49/140 | topk: 220 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    50/140 | topk: 240 | alpha: 0.000 | norm: non | MAP: 0.0593 |
| iter:    51/140 | topk: 240 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:    52/140 | topk: 240 | alpha: 0.400 | norm: non | MAP: 0.0595 |
| iter:    53/140 | topk: 240 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    54/140 | topk: 240 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:    55/140 | topk: 260 | alpha: 0.000 | norm: non | MAP: 0.0597 |
| iter:    56/140 | topk: 260 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:    57/140 | topk: 260 | alpha: 0.400 | norm: non | MAP: 0.0596 |
| iter:    58/140 | topk: 260 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    59/140 | topk: 260 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    60/140 | topk: 280 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:    61/140 | topk: 280 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    62/140 | topk: 280 | alpha: 0.400 | norm: non | MAP: 0.0598 |
| iter:    63/140 | topk: 280 | alpha: 0.600 | norm: non | MAP: 0.0599 |
| iter:    64/140 | topk: 280 | alpha: 0.800 | norm: non | MAP: 0.0597 |
| iter:    65/140 | topk: 300 | alpha: 0.000 | norm: non | MAP: 0.0594 |
| iter:    66/140 | topk: 300 | alpha: 0.200 | norm: non | MAP: 0.0594 |
| iter:    67/140 | topk: 300 | alpha: 0.400 | norm: non | MAP: 0.0594 |
| iter:    68/140 | topk: 300 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    69/140 | topk: 300 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:    70/140 | topk: 320 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:    71/140 | topk: 320 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    72/140 | topk: 320 | alpha: 0.400 | norm: non | MAP: 0.0598 |
| iter:    73/140 | topk: 320 | alpha: 0.600 | norm: non | MAP: 0.0598 |
| iter:    74/140 | topk: 320 | alpha: 0.800 | norm: non | MAP: 0.0597 |
| iter:    75/140 | topk: 340 | alpha: 0.000 | norm: non | MAP: 0.0596 |
| iter:    76/140 | topk: 340 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    77/140 | topk: 340 | alpha: 0.400 | norm: non | MAP: 0.0597 |
| iter:    78/140 | topk: 340 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    79/140 | topk: 340 | alpha: 0.800 | norm: non | MAP: 0.0597 |
| iter:    80/140 | topk: 360 | alpha: 0.000 | norm: non | MAP: 0.0596 |
| iter:    81/140 | topk: 360 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:    82/140 | topk: 360 | alpha: 0.400 | norm: non | MAP: 0.0598 |
| iter:    83/140 | topk: 360 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    84/140 | topk: 360 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    85/140 | topk: 380 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:    86/140 | topk: 380 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    87/140 | topk: 380 | alpha: 0.400 | norm: non | MAP: 0.0597 |
| iter:    88/140 | topk: 380 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:    89/140 | topk: 380 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    90/140 | topk: 400 | alpha: 0.000 | norm: non | MAP: 0.0596 |
| iter:    91/140 | topk: 400 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:    92/140 | topk: 400 | alpha: 0.400 | norm: non | MAP: 0.0596 |
| iter:    93/140 | topk: 400 | alpha: 0.600 | norm: non | MAP: 0.0595 |
| iter:    94/140 | topk: 400 | alpha: 0.800 | norm: non | MAP: 0.0597 |
| iter:    95/140 | topk: 420 | alpha: 0.000 | norm: non | MAP: 0.0593 |
| iter:    96/140 | topk: 420 | alpha: 0.200 | norm: non | MAP: 0.0594 |
| iter:    97/140 | topk: 420 | alpha: 0.400 | norm: non | MAP: 0.0595 |
| iter:    98/140 | topk: 420 | alpha: 0.600 | norm: non | MAP: 0.0594 |
| iter:    99/140 | topk: 420 | alpha: 0.800 | norm: non | MAP: 0.0593 |
| iter:   100/140 | topk: 440 | alpha: 0.000 | norm: non | MAP: 0.0593 |
| iter:   101/140 | topk: 440 | alpha: 0.200 | norm: non | MAP: 0.0592 |
| iter:   102/140 | topk: 440 | alpha: 0.400 | norm: non | MAP: 0.0594 |
| iter:   103/140 | topk: 440 | alpha: 0.600 | norm: non | MAP: 0.0592 |
| iter:   104/140 | topk: 440 | alpha: 0.800 | norm: non | MAP: 0.0591 |
| iter:   105/140 | topk: 460 | alpha: 0.000 | norm: non | MAP: 0.0593 |
| iter:   106/140 | topk: 460 | alpha: 0.200 | norm: non | MAP: 0.0591 |
| iter:   107/140 | topk: 460 | alpha: 0.400 | norm: non | MAP: 0.0595 |
| iter:   108/140 | topk: 460 | alpha: 0.600 | norm: non | MAP: 0.0593 |
| iter:   109/140 | topk: 460 | alpha: 0.800 | norm: non | MAP: 0.0593 |
| iter:   110/140 | topk: 480 | alpha: 0.000 | norm: non | MAP: 0.0594 |
| iter:   111/140 | topk: 480 | alpha: 0.200 | norm: non | MAP: 0.0592 |
| iter:   112/140 | topk: 480 | alpha: 0.400 | norm: non | MAP: 0.0594 |
| iter:   113/140 | topk: 480 | alpha: 0.600 | norm: non | MAP: 0.0594 |
| iter:   114/140 | topk: 480 | alpha: 0.800 | norm: non | MAP: 0.0593 |
| iter:   115/140 | topk: 500 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:   116/140 | topk: 500 | alpha: 0.200 | norm: non | MAP: 0.0593 |
| iter:   117/140 | topk: 500 | alpha: 0.400 | norm: non | MAP: 0.0595 |
| iter:   118/140 | topk: 500 | alpha: 0.600 | norm: non | MAP: 0.0595 |
| iter:   119/140 | topk: 500 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:   120/140 | topk: 520 | alpha: 0.000 | norm: non | MAP: 0.0595 |
| iter:   121/140 | topk: 520 | alpha: 0.200 | norm: non | MAP: 0.0592 |
| iter:   122/140 | topk: 520 | alpha: 0.400 | norm: non | MAP: 0.0595 |
| iter:   123/140 | topk: 520 | alpha: 0.600 | norm: non | MAP: 0.0596 |
| iter:   124/140 | topk: 520 | alpha: 0.800 | norm: non | MAP: 0.0595 |
| iter:   125/140 | topk: 540 | alpha: 0.000 | norm: non | MAP: 0.0592 |
| iter:   126/140 | topk: 540 | alpha: 0.200 | norm: non | MAP: 0.0592 |
| iter:   127/140 | topk: 540 | alpha: 0.400 | norm: non | MAP: 0.0594 |
| iter:   128/140 | topk: 540 | alpha: 0.600 | norm: non | MAP: 0.0594 |
| iter:   129/140 | topk: 540 | alpha: 0.800 | norm: non | MAP: 0.0594 |
| iter:   130/140 | topk: 560 | alpha: 0.000 | norm: non | MAP: 0.0591 |
| iter:   131/140 | topk: 560 | alpha: 0.200 | norm: non | MAP: 0.0590 |
| iter:   132/140 | topk: 560 | alpha: 0.400 | norm: non | MAP: 0.0593 |
| iter:   133/140 | topk: 560 | alpha: 0.600 | norm: non | MAP: 0.0594 |
| iter:   134/140 | topk: 560 | alpha: 0.800 | norm: non | MAP: 0.0593 |
| iter:   135/140 | topk: 580 | alpha: 0.000 | norm: non | MAP: 0.0590 |
| iter:   136/140 | topk: 580 | alpha: 0.200 | norm: non | MAP: 0.0590 |
| iter:   137/140 | topk: 580 | alpha: 0.400 | norm: non | MAP: 0.0591 |
| iter:   138/140 | topk: 580 | alpha: 0.600 | norm: non | MAP: 0.0592 |
| iter:   139/140 | topk: 580 | alpha: 0.800 | norm: non | MAP: 0.0591 |
| Hsim(RP3beta, P3alpha) | topk: 280 | alpha: 0.600 | norm: non | MAP: 0.0599 |
