['none', 'l2', 'l1', 'max']
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0581 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    60/18 | alpha: 0.800 | norm: none | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    61/18 | alpha: 0.800 | norm: l2 | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    62/18 | alpha: 0.800 | norm: l1 | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    63/18 | alpha: 0.800 | norm: max | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    64/18 | alpha: 0.850 | norm: none | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    65/18 | alpha: 0.850 | norm: l2 | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    66/18 | alpha: 0.850 | norm: l1 | MAP: 0.0573 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    67/18 | alpha: 0.850 | norm: max | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    68/18 | alpha: 0.900 | norm: none | MAP: 0.0572 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    69/18 | alpha: 0.900 | norm: l2 | MAP: 0.0573 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    70/18 | alpha: 0.900 | norm: l1 | MAP: 0.0570 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    71/18 | alpha: 0.900 | norm: max | MAP: 0.0572 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| best results | alpha: 0.050 | norm: none | MAP: 0.0581 |
